iter	Logloss
0	0.6544602608
1	0.6231560207
2	0.5972096908
3	0.580728045
4	0.5619645945
5	0.5462909332
6	0.5368748261
7	0.5269623585
8	0.5201802135
9	0.5138336625
10	0.5091459889
11	0.5025476907
12	0.4986032663
13	0.4938082079
14	0.4898970465
15	0.4876585407
16	0.4848258925
17	0.4813583351
18	0.4794131568
19	0.4775097971
20	0.4753041679
21	0.4732111156
22	0.4714691906
23	0.4697772395
24	0.468993506
25	0.4677892814
26	0.4655941885
27	0.4643278203
28	0.4614378179
29	0.4606186721
30	0.4591988708
31	0.4579702494
32	0.4571691279
33	0.4560826273
34	0.455412019
35	0.4540433691
36	0.4530374431
37	0.4515395181
38	0.4508689876
39	0.450013968
40	0.449350089
41	0.4483783494
42	0.447505852
43	0.4470139437
44	0.4462856047
45	0.4456481643
46	0.4448515624
47	0.4445067009
48	0.4440880801
49	0.4434173652
50	0.4426786689
51	0.4422551676
52	0.4418660941
53	0.4411802789
54	0.440073753
55	0.4395506397
56	0.4388227738
57	0.4384394211
58	0.4374728979
59	0.4369168498
60	0.4363268164
61	0.4357332253
62	0.4350158858
63	0.4346710448
64	0.4343552776
65	0.4339987115
66	0.4335227036
67	0.4332012972
68	0.4328239263
69	0.4324445034
70	0.4319365093
71	0.4315625674
72	0.4311623963
73	0.4307493162
74	0.4304706131
75	0.4302160601
76	0.4298493855
77	0.4294165975
78	0.4291108352
79	0.4284985803
80	0.4281994252
81	0.427742578
82	0.4272529866
83	0.4269239755
84	0.4265875686
85	0.4262716748
86	0.4258364087
87	0.4245269352
88	0.4238716382
89	0.423471369
90	0.4231382584
91	0.4229309366
92	0.4224634179
93	0.4213216119
94	0.4210663799
95	0.4208646868
96	0.4204110218
97	0.4201009558
98	0.4197734714
99	0.4187061022
100	0.4177713405
101	0.4170105604
102	0.4165487497
103	0.4161033913
104	0.4151506274
105	0.4142769156
106	0.4139855409
107	0.4136644812
108	0.4129917579
109	0.412606073
110	0.4122140284
111	0.4118245712
112	0.4113948627
113	0.4109102803
114	0.4104663353
115	0.409952479
116	0.4093746139
117	0.4092221021
118	0.4088176812
119	0.4085457051
120	0.4075770667
121	0.4072646724
122	0.4068318057
123	0.4065510791
124	0.4061614265
125	0.4058933331
126	0.4054464354
127	0.4050955045
128	0.404737942
129	0.4042629337
130	0.4038896833
131	0.4035715725
132	0.4032140319
133	0.4029850753
134	0.4026075171
135	0.4022065501
136	0.401123379
