iter	Logloss
137	0.4005836277
138	0.400267697
139	0.3993380795
140	0.3991234583
141	0.3988231632
142	0.3984054697
143	0.3979576995
144	0.3976319196
145	0.3972600109
146	0.3968617124
147	0.396613291
148	0.3964783999
149	0.3961571553
150	0.3959094728
151	0.3958065666
152	0.3955727036
153	0.3953857516
154	0.3951190101
155	0.3948038605
156	0.3940513993
157	0.3938679752
158	0.3931262309
159	0.3926219494
160	0.3923278852
161	0.3920483156
162	0.391669311
163	0.3914911639
164	0.3908277367
165	0.3906096149
166	0.3901038176
167	0.3897852853
168	0.3893490802
169	0.3890082314
170	0.3886292826
171	0.388395128
172	0.3879589792
173	0.3876178634
174	0.3871627602
175	0.3870364971
176	0.3867589256
177	0.3863296373
178	0.3861804323
179	0.3859282555
180	0.3850656789
181	0.3847923157
182	0.3845804197
183	0.3842152879
184	0.3839408944
185	0.3834506463
186	0.3830900425
187	0.3828810804
188	0.3826493736
189	0.3824629341
190	0.3823377266
191	0.3822330716
192	0.3819667751
193	0.3817333596
194	0.3813880382
195	0.3812775523
196	0.3810331192
197	0.3805436635
198	0.3803476763
199	0.3802467416
200	0.3799427961
201	0.3798041148
202	0.3796640018
203	0.3794521241
204	0.3791782498
205	0.3789607648
206	0.378846846
207	0.3784377036
208	0.3780364547
209	0.377967859
210	0.3776721777
211	0.3774911172
212	0.3773440174
213	0.3769227642
214	0.3766274914
215	0.376295207
216	0.3758568696
217	0.375521689
218	0.3753220362
219	0.3749694144
220	0.3748231709
221	0.3744621039
222	0.3743287284
223	0.3740689362
224	0.373861739
225	0.3736372283
226	0.3734624477
227	0.3733778647
228	0.3729864237
229	0.3726495022
230	0.3723940914
231	0.3722051719
232	0.3721001569
233	0.3718697131
234	0.3715279907
235	0.3711422932
236	0.3710098616
237	0.3703090136
238	0.3702239321
239	0.370022184
240	0.3696411749
241	0.3693492921
242	0.3691905172
243	0.3690525083
244	0.3689246956
245	0.3686797853
246	0.3682507299
247	0.3680219746
248	0.3677554605
249	0.3675240507
250	0.3672035444
251	0.367068842
252	0.3668992317
253	0.3667703834
254	0.36657526
255	0.3663400171
256	0.3662305297
257	0.3659223511
258	0.3657236963
259	0.365446484
260	0.3651580141
261	0.3648398094
262	0.3645642018
263	0.3641007301
264	0.3637986264
265	0.3634542893
266	0.3631523722
267	0.3628559685
268	0.3627229052
269	0.3624740768
270	0.3623814106
271	0.3621505248
272	0.36206994
273	0.3619501502
274	0.3618114717
275	0.3615577016
276	0.3613485696
277	0.3610025363
278	0.3609358038
279	0.3606683887
280	0.3605663803
281	0.3604847356
282	0.3602959595
283	0.3600927476
284	0.3598610279
285	0.3596129827
286	0.3595080292
287	0.3593498143
288	0.359100967
289	0.3588827019
290	0.3587847393
291	0.3586080108
292	0.3584716351
293	0.3583432565
294	0.3581387431
295	0.3578902015
296	0.3576350884
297	0.3573864763
298	0.3571744187
299	0.3569683804
300	0.3567289219
301	0.3564173323
302	0.3561381259
303	0.3559187938
304	0.3557481352
305	0.3556299301
306	0.3555296032
307	0.3553752898
308	0.355127403
309	0.3549105637
310	0.3547200449
311	0.3545296473
312	0.3544061965
313	0.3542392824
314	0.3540981555
315	0.3539010412
316	0.3537980984
317	0.3536405618
318	0.3533348316
319	0.3531539005
320	0.3528647092
321	0.352613634
322	0.3524402322
323	0.3523444083
324	0.3520916868
325	0.3519612957
326	0.3518312784
327	0.351577897
328	0.3512821087
329	0.351215064
330	0.3510998379
331	0.3508991854
332	0.350681874
333	0.350233368
334	0.3499289591
335	0.3497489286
336	0.3495978741
337	0.3493740118
338	0.3492789115
339	0.3491279318
340	0.3488673709
341	0.3486732316
342	0.3485865977
343	0.3484176229
344	0.3483574087
345	0.3481107923
346	0.3480174409
347	0.3479237572
348	0.3478387143
349	0.3476707997
350	0.3474489292
351	0.3473460053
352	0.3472030082
353	0.3470397313
354	0.3468724279
355	0.3467534635
356	0.346264183
357	0.3460266834
358	0.3459615065
359	0.345690825
360	0.3453407534
361	0.3449692317
362	0.3448603374
363	0.3446923181
364	0.3445706535
365	0.3443850762
366	0.3443078996
367	0.3440721393
368	0.343869099
369	0.3437296518
370	0.3435843125
371	0.3433059443
372	0.3432180112
373	0.343128676
374	0.342982265
375	0.3428861569
376	0.3426154767
377	0.3424526473
378	0.3423551014
379	0.3423019862
380	0.3420207009
381	0.3418554467
382	0.3416527827
383	0.3416057593
384	0.3413594481
385	0.3412154455
386	0.3411577526
387	0.3410534454
388	0.3407590876
389	0.3407319241
390	0.3406787315
391	0.3405469883
392	0.3402884951
393	0.3401989054
394	0.3400015298
395	0.3398990382
396	0.3396864083
397	0.3394164792
398	0.3391965922
399	0.3390760145
400	0.3390238982
401	0.3388440125
402	0.3385242128
403	0.3383069918
404	0.3381964618
405	0.3381078379
406	0.33785494
407	0.3377928344
408	0.3376832643
409	0.3375306829
410	0.3373281969
411	0.337137249
412	0.3370941259
413	0.3368952403
414	0.3366871027
415	0.3364798267
416	0.3362596058
417	0.3361427372
418	0.3359458771
419	0.3357997124
420	0.3356997996
421	0.3356157267
422	0.3354884782
423	0.3354398027
424	0.3352864424
425	0.3351259462
426	0.334936113
427	0.3348296209
428	0.3345447803
429	0.3343263634
430	0.3341720293
431	0.3339629351
432	0.3338542876
433	0.3338268561
434	0.3337556988
435	0.3336918321
436	0.333491108
437	0.3333681035
438	0.3331659217
439	0.333048046
440	0.332951235
441	0.3328643022
442	0.3327506218
443	0.3327030467
444	0.3325662699
445	0.3323392867
446	0.3320543998
447	0.331838812
448	0.3317882857
449	0.3316915351
450	0.331437427
451	0.3312092864
452	0.3310558642
453	0.3308588491
454	0.3306147105
455	0.3305412952
456	0.3304843471
457	0.3302678546
458	0.3300561909
459	0.3299037605
460	0.3297470999
461	0.3295748012
462	0.3294375844
463	0.3293315138
464	0.3291170511
465	0.3288772084
466	0.3286409354
467	0.3284392638
468	0.3282840968
469	0.3280418723
470	0.3278418497
471	0.3276898412
472	0.3276059906
473	0.3274953423
474	0.3274370119
475	0.3272546498
476	0.3270903762
477	0.3269485066
478	0.3268008841
479	0.3267431681
480	0.3265799687
481	0.3265180061
482	0.3263887964
483	0.3261823359
484	0.3260448297
485	0.3260090603
486	0.3259616874
487	0.3258916601
488	0.3257828663
489	0.3256142627
490	0.3254782767
491	0.3254385584
492	0.3253320526
493	0.3251943304
494	0.3249977514
495	0.3249339081
496	0.3246907989
497	0.3245310989
498	0.3243324039
499	0.3242325449
